DATE,Measure,Value
19250606,TOBS,256
19250607,TMIN,172
19250607,TMAX,317
19250607,TOBS,294
19250608,TMIN,167
19250608,TMAX,367
19250608,TOBS,250
19250609,TMIN,150
19250609,TMAX,322
19250609,TOBS,289
19250610,TMIN,94
19250610,TMAX,289
19250610,TOBS,228
19250611,TMIN,83
19250611,TMAX,356
19250611,TOBS,250
19250612,TMIN,106
19250612,TMAX,350
19250612,TOBS,317
19250613,TMIN,200
19250613,TMAX,289
19250613,TOBS,239
19250614,TMIN,183
19250614,TMAX,333
19250614,TOBS,256
19250615,TMIN,189
19250615,TMAX,356
19250615,TOBS,267
19250616,TMIN,194
19250616,TMAX,294
19250616,TOBS,222
19250617,TMIN,156
19250617,TMAX,294
19250617,TOBS,261
19250618,TMIN,206
19250618,TMAX,294
19250618,TOBS,278
19250619,TMIN,139
19250619,TMAX,289
19250619,TOBS,278
19250620,TMIN,144
19250620,TMAX,317
19250620,TOBS,233
19250621,TMIN,150
19250621,TMAX,328
19250621,TOBS,278
19250622,TMIN,144
19250622,TMAX,317
19250622,TOBS,261
19250623,TMIN,167
19250623,TMAX,267
19250623,TOBS,233
19250624,TMIN,150
19250624,TMAX,278
19250624,TOBS,244
19250625,TMIN,172
19250625,TMAX,250
19250625,TOBS,189
19250626,TMIN,117
19250626,TMAX,267
19250626,TOBS,206
19250627,TMIN,111
19250627,TMAX,283
19250627,TOBS,222
19250628,TMIN,133
19250628,TMAX,300
19250628,TOBS,267
19250629,TMIN,183
19250629,TMAX,267
19250629,TOBS,244
19250630,TMIN,128
19250630,TMAX,267
19250630,TOBS,239
19250701,TMIN,89
19250701,TMAX,311
19250701,TOBS,244
19250702,TMIN,150
19250702,TMAX,372
19250702,TOBS,228
19250703,TMIN,144
19250703,TMAX,339
19250703,TOBS,244
19250704,TMIN,189
19250704,TMAX,306
19250704,TOBS,272
19250705,TMIN,211
19250705,TMAX,322
19250705,TOBS,283
19250706,TMIN,211
19250706,TMAX,328
19250706,TOBS,272
19250707,TMIN,239
19250707,TMAX,311
19250707,TOBS,283
19250708,TMIN,206
19250708,TMAX,333
19250708,TOBS,289
19250709,TMIN,200
19250709,TMAX,339
19250709,TOBS,244
19250710,TMIN,228
19250710,TMAX,300
19250710,TOBS,300
19250711,TMIN,217
19250711,TMAX,339
19250711,TOBS,278
19250712,TMIN,211
19250712,TMAX,339
19250712,TOBS,272
19250713,TMIN,200
19250713,TMAX,300
19250713,TOBS,272
19250714,TMIN,133
19250714,TMAX,289
19250714,TOBS,239
19250715,TMIN,150
19250715,TMAX,328
19250715,TOBS,261
19250716,TMIN,194
19250716,TMAX,300
19250716,TOBS,244
19250717,TMIN,144
19250717,TMAX,244
19250717,TOBS,233
19250718,TMIN,106
19250718,TMAX,267
19250718,TOBS,261
19250719,TMIN,128
19250719,TMAX,289
19250719,TOBS,256
19250720,TMIN,172
19250720,TMAX,289
19250720,TOBS,200
19250721,TMIN,194
19250721,TMAX,283
19250721,TOBS,289
19250722,TMIN,156
19250722,TMAX,289
19250722,TOBS,250
19250723,TMIN,117
19250723,TMAX,261
19250723,TOBS,239
19250724,TMIN,122
19250724,TMAX,289
19250724,TOBS,278
19250725,TMIN,156
19250725,TMAX,317
19250725,TOBS,217
19250726,TMIN,172
19250726,TMAX,239
19250726,TOBS,211
19250727,TMIN,139
19250727,TMAX,283
19250727,TOBS,250
19250728,TMIN,156
19250728,TMAX,250
19250728,TOBS,217
19250729,TMIN,111
19250729,TMAX,250
19250729,TOBS,217
19250730,TMIN,150
19250730,TMAX,222
19250730,TOBS,178
19250731,TMIN,150
19250731,TMAX,228
19250731,TOBS,194
19250801,TMIN,133
19250801,TMAX,250
19250801,TOBS,222
19250802,TMIN,144
19250802,TMAX,267
19250802,TOBS,217
19250803,TMIN,156
19250803,TMAX,278
19250803,TOBS,239
19250804,TMIN,133
19250804,TMAX,300
19250804,TOBS,233
19250805,TMIN,150
19250805,TMAX,283
19250805,TOBS,244
19250806,TMIN,144
19250806,TMAX,300
19250806,TOBS,256
19250807,TMIN,156
19250807,TMAX,306
19250807,TOBS,272
19250808,TMIN,189
19250808,TMAX,294
19250808,TOBS,244
19250809,TMIN,156
19250809,TMAX,311
19250809,TOBS,289
19250810,TMIN,183
19250810,TMAX,328
19250810,TOBS,278
19250811,TMIN,200
19250811,TMAX,278
19250811,TOBS,261
19250812,TMIN,211
19250812,TMAX,317
19250812,TOBS,256
19250813,TMIN,189
19250813,TMAX,294
19250813,TOBS,239
19250814,TMIN,167
19250814,TMAX,283
19250814,TOBS,228
19250815,TMIN,144
19250815,TMAX,300
19250815,TOBS,233
19250816,TMIN,200
19250816,TMAX,317
19250816,TOBS,244
19250817,TMIN,161
19250817,TMAX,333
19250817,TOBS,272
19250818,TMIN,206
19250818,TMAX,317
19250818,TOBS,278
19250819,TMIN,200
19250819,TMAX,333
19250819,TOBS,289
19250820,TMIN,200
19250820,TMAX,317
19250820,TOBS,289
19250821,TMIN,161
19250821,TMAX,272
19250821,TOBS,211
19250822,TMIN,100
19250822,TMAX,267
19250822,TOBS,189
19250823,TMIN,89
19250823,TMAX,294
19250823,TOBS,206
19250824,TMIN,100
19250824,TMAX,300
19250824,TOBS,261
19250825,TMIN,94
19250825,TMAX,306
19250825,TOBS,217
19250826,TMIN,106
19250826,TMAX,328
19250826,TOBS,306
19250827,TMIN,167
19250827,TMAX,300
19250827,TOBS,217
19250828,TMIN,117
19250828,TMAX,300
19250828,TOBS,272
19250829,TMIN,122
19250829,TMAX,339
19250829,TOBS,294
19250830,TMIN,156
19250830,TMAX,328
19250830,TOBS,300
19250831,TMIN,178
19250831,TMAX,317
19250831,TOBS,267
19250901,TMIN,183
19250901,TMAX,317
19250901,TOBS,228
19250902,TMIN,133
19250902,TMAX,328
19250902,TOBS,300
19250903,TMIN,167
19250903,TMAX,356
19250903,TOBS,333
19250904,TMIN,167
19250904,TMAX,350
19250904,TOBS,267
19250905,TMIN,122
19250905,TMAX,356
19250905,TOBS,272
19250906,TMIN,200
19250906,TMAX,361
19250906,TOBS,283
19250907,TMIN,206
19250907,TMAX,317
19250907,TOBS,278
19250908,TMIN,178
19250908,TMAX,317
19250908,TOBS,233
19250909,TMIN,189
19250909,TMAX,350
19250909,TOBS,306
19250910,TMIN,189
19250910,TMAX,311
19250910,TOBS,289
19250911,TMIN,183
19250911,TMAX,344
19250911,TOBS,289
19250912,TMIN,206
19250912,TMAX,289
19250912,TOBS,239
19250913,TMIN,194
19250913,TMAX,267
19250913,TOBS,228
19250914,TMIN,183
19250914,TMAX,250
19250914,TOBS,206
19250915,TMIN,189
19250915,TMAX,228
19250915,TOBS,194
19250916,TMIN,144
19250916,TMAX,267
19250916,TOBS,233
19250917,TMIN,128
19250917,TMAX,300
19250917,TOBS,272
19250918,TMIN,161
19250918,TMAX,333
19250918,TOBS,317
19250919,TMIN,206
19250919,TMAX,344
19250919,TOBS,317
19250920,TMIN,200
19250920,TMAX,317
19250920,TOBS,261
19250921,TMIN,161
19250921,TMAX,261
19250921,TOBS,222
19250922,TMIN,133
19250922,TMAX,222
19250922,TOBS,156
19250923,TMIN,83
19250923,TMAX,233
19250923,TOBS,172
19250924,TMIN,117
19250924,TMAX,244
19250924,TOBS,167
19250925,TMIN,94
19250925,TMAX,228
19250925,TOBS,178
19250926,TMIN,17
19250926,TMAX,311
19250926,TOBS,233
19250927,TMIN,189
19250927,TMAX,256
19250927,TOBS,211
19250928,TMIN,167
19250928,TMAX,272
19250928,TOBS,228
19250929,TMIN,122
19250929,TMAX,250
19250929,TOBS,183
19250930,TMIN,94
19250930,TMAX,317
19250930,TOBS,217
19251001,TMIN,150
19251001,TMAX,233
19251001,TOBS,228
19251002,TMIN,178
19251002,TMAX,233
19251002,TOBS,211
19251003,TMIN,156
19251003,TMAX,211
19251003,TOBS,211
19251004,TMIN,167
19251004,TMAX,228
19251004,TOBS,228
19251005,TMIN,78
19251005,TMAX,228
19251005,TOBS,172
19251006,TMIN,106
19251006,TMAX,172
19251006,TOBS,133
19251007,TMIN,61
19251007,TMAX,172
19251007,TOBS,122
19251008,TMIN,61
19251008,TMAX,172
19251008,TOBS,172
19251009,TMIN,50
19251009,TMAX,172
19251009,TOBS,61
19251010,TMIN,39
19251010,TMAX,106
19251010,TOBS,72
19251011,TMIN,-22
19251011,TMAX,106
19251011,TOBS,83
19251012,TMIN,78
19251012,TMAX,128
19251012,TOBS,128
19251013,TMIN,83
19251013,TMAX,156
19251013,TOBS,139
19251014,TMIN,78
19251014,TMAX,161
19251014,TOBS,161
19251015,TMIN,100
19251015,TMAX,183
19251015,TOBS,150
19251016,TMIN,72
19251016,TMAX,150
19251016,TOBS,122
19251017,TMIN,83
19251017,TMAX,183
19251017,TOBS,117
19251018,TMIN,39
19251018,TMAX,128
19251018,TOBS,117
19251019,TMIN,6
19251019,TMAX,56
19251019,TOBS,61
19251020,TMIN,6
19251020,TMAX,89
19251020,TOBS,72
19251021,TMIN,-11
19251021,TMAX,94
19251021,TOBS,78
19251022,TMIN,0
19251022,TMAX,78
19251022,TOBS,67
19251023,TMIN,11
19251023,TMAX,133
19251023,TOBS,106
19251024,TMIN,61
19251024,TMAX,106
19251024,TOBS,94
19251025,TMIN,44
19251025,TMAX,94
19251025,TOBS,56
19251026,TMIN,0
19251026,TMAX,106
19251026,TOBS,56
19251027,TMIN,6
19251027,TMAX,94
19251027,TOBS,39
19251028,TMIN,-33
19251028,TMAX,44
19251028,TOBS,-17
19251029,TMIN,-94
19251029,TMAX,11
19251029,TOBS,-6
19251030,TMIN,-33
19251030,TMAX,33
19251030,TOBS,11
19251031,TMIN,-72
19251031,TMAX,61
19251031,TOBS,28
19251101,TMIN,-61
19251101,TMAX,94
19251101,TOBS,28
19251102,TMIN,6
19251102,TMAX,150
19251102,TOBS,89
19251103,TMIN,-33
19251103,TMAX,156
19251103,TOBS,106
19251104,TMIN,-22
19251104,TMAX,144
19251104,TOBS,128
19251105,TMIN,83
19251105,TMAX,128
19251105,TOBS,100
19251106,TMIN,-6
19251106,TMAX,144
19251106,TOBS,100
19251107,TMIN,50
19251107,TMAX,172
19251107,TOBS,172
19251108,TMIN,-11
19251108,TMAX,189
19251108,TOBS,11
19251109,TMIN,-83
19251109,TMAX,67
19251109,TOBS,28
19251110,TMIN,-56
19251110,TMAX,139
19251110,TOBS,89
19251111,TMIN,-22
19251111,TMAX,161
19251111,TOBS,128
19251112,TMIN,50
19251112,TMAX,133
19251112,TOBS,133
19251113,TMIN,83
19251113,TMAX,139
19251113,TOBS,117
19251114,TMIN,33
19251114,TMAX,161
19251114,TOBS,111
19251115,TMIN,22
19251115,TMAX,111
19251115,TOBS,39
19251116,TMIN,-11
19251116,TMAX,39
19251116,TOBS,11
19251117,TMIN,-6
19251117,TMAX,78
19251117,TOBS,50
19251118,TMIN,-50
19251118,TMAX,139
19251118,TOBS,111
19251119,TMIN,72
19251119,TMAX,117
19251119,TOBS,117
19251120,TMIN,17
19251120,TMAX,117
19251120,TOBS,72
19251121,TMIN,-33
19251121,TMAX,156
19251121,TOBS,117
19251122,TMIN,0
19251122,TMAX,111
19251122,TOBS,6
19251123,TMIN,-72
19251123,TMAX,6
19251123,TOBS,-17
19251124,TMIN,-89
19251124,TMAX,33
19251124,TOBS,33
19251125,TMIN,-28
19251125,TMAX,133
19251125,TOBS,100
19251126,TMIN,-6
19251126,TMAX,100
19251126,TOBS,56
19251127,TMIN,11
19251127,TMAX,56
19251127,TOBS,22
19251128,TMIN,-67
19251128,TMAX,22
19251128,TOBS,-28
19251129,TMIN,-67
19251129,TMAX,11
19251129,TOBS,0
19251130,TMIN,-17
19251130,TMAX,100
19251130,TOBS,61
19251201,TMIN,6
19251201,TMAX,89
19251201,TOBS,33
19251202,TMIN,-44
19251202,TMAX,56
19251202,TOBS,22
19251203,TMIN,-22
19251203,TMAX,106
19251203,TOBS,78
19251204,TMIN,0
19251204,TMAX,200
19251204,TOBS,150
19251205,TMIN,-6
19251205,TMAX,150
19251205,TOBS,0
19251206,TMIN,-44
19251206,TMAX,28
19251206,TOBS,17
19251207,TMIN,-17
19251207,TMAX,83
19251207,TOBS,56
19251208,TMIN,-6
19251208,TMAX,56
19251208,TOBS,39
19251209,TMIN,17
19251209,TMAX,44
19251209,TOBS,44
19251210,TMIN,-44
19251210,TMAX,67
19251210,TOBS,33
19251211,TMIN,-44
19251211,TMAX,150
19251211,TOBS,133
19251212,TMIN,17
19251212,TMAX,128
19251212,TOBS,106
19251213,TMIN,-28
19251213,TMAX,106
19251213,TOBS,22
19251214,TMIN,-22
19251214,TMAX,44
19251214,TOBS,6
19251215,TMIN,-33
19251215,TMAX,17
19251215,TOBS,17
19251216,TMIN,-17
19251216,TMAX,17
19251216,TOBS,-11
19251217,TMIN,-67
19251217,TMAX,17
19251217,TOBS,-11
19251218,TMIN,-100
19251218,TMAX,0
19251218,TOBS,-22
19251219,TMIN,-78
19251219,TMAX,56
19251219,TOBS,33
19251220,TMIN,-11
19251220,TMAX,56
19251220,TOBS,44
19251221,TMIN,17
19251221,TMAX,78
19251221,TOBS,33
19251222,TMIN,-56
19251222,TMAX,33
19251222,TOBS,-44
19251223,TMIN,-133
19251223,TMAX,-44
19251223,TOBS,-44
19251224,TMIN,-56
19251224,TMAX,39
19251224,TOBS,11
19251225,TMIN,-61
19251225,TMAX,33
19251225,TOBS,-61
19251226,TMIN,-144
19251226,TMAX,-61
19251226,TOBS,-117
19251227,TMIN,-206
19251227,TMAX,-89
19251227,TOBS,-139
19251228,TMIN,-189
19251228,TMAX,-94
19251228,TOBS,-100
19251229,TMIN,-189
19251229,TMAX,-44
19251229,TOBS,-67
19251230,TMIN,-150
19251230,TMAX,-11
19251230,TOBS,-33
19251231,TMIN,-156
19251231,TMAX,33
19251231,TOBS,0
19260101,TMIN,-100
19260101,TMAX,39
19260101,TOBS,39
19260102,TMIN,-94
19260102,TMAX,94
19260102,TOBS,0
19260103,TMIN,-67
19260103,TMAX,56
19260103,TOBS,44
19260104,TMIN,33
19260104,TMAX,83
19260104,TOBS,72
19260105,TMIN,50
19260105,TMAX,106
19260105,TOBS,56
19260106,TMIN,0
19260106,TMAX,56
19260106,TOBS,11
19260107,TMIN,-39
19260107,TMAX,17
19260107,TOBS,-11
19260108,TMIN,-61
19260108,TMAX,-11
19260108,TOBS,22
19260109,TMIN,-61
19260109,TMAX,-28
19260109,TOBS,-33
19260110,TMIN,-167
19260110,TMAX,-6
19260110,TOBS,-6
19260111,TMIN,-100
19260111,TMAX,22
19260111,TOBS,6
19260112,TMIN,-133
19260112,TMAX,6
19260112,TOBS,-100
19260113,TMIN,-161
19260113,TMAX,-39
19260113,TOBS,-56
19260114,TMIN,-200
19260114,TMAX,39
19260114,TOBS,17
19260115,TMIN,-11
19260115,TMAX,28
19260115,TOBS,0
19260116,TMIN,-139
19260116,TMAX,100
19260116,TOBS,39
19260117,TMIN,-50
19260117,TMAX,39
19260117,TOBS,28
19260118,TMIN,22
19260118,TMAX,89
19260118,TOBS,44
19260119,TMIN,22
19260119,TMAX,117
19260119,TOBS,67
19260120,TMIN,28
19260120,TMAX,83
19260120,TOBS,56
19260121,TMIN,-33
19260121,TMAX,56
19260121,TOBS,-28
19260122,TMIN,-144
19260122,TMAX,-28
19260122,TOBS,-111
19260123,TMIN,-222
19260123,TMAX,-72
19260123,TOBS,-100
19260124,TMIN,-106
19260124,TMAX,11
19260124,TOBS,-33
19260125,TMIN,-100
19260125,TMAX,28
19260125,TOBS,-11
19260126,TMIN,-128
19260126,TMAX,11
19260126,TOBS,6
19260127,TMIN,-61
19260127,TMAX,6
19260127,TOBS,6
19260128,TMIN,-167
19260128,TMAX,22
19260128,TOBS,-150
19260129,TMIN,-233
19260129,TMAX,33
19260129,TOBS,11
19260130,TMIN,-6
19260130,TMAX,122
19260130,TOBS,56
19260131,TMIN,-33
19260131,TMAX,56
19260131,TOBS,44
19260201,TMIN,11
19260201,TMAX,44
19260201,TOBS,28
19260202,TMIN,6
19260202,TMAX,44
19260202,TOBS,28
19260203,TMIN,11
19260203,TMAX,44
19260203,TOBS,44
19260204,TMIN,-6
19260204,TMAX,94
19260204,TOBS,0
19260205,TMIN,-22
19260205,TMAX,6
19260205,TOBS,6
19260206,TMIN,-28
19260206,TMAX,111
19260206,TOBS,100
19260207,TMIN,6
19260207,TMAX,100
19260207,TOBS,50
19260208,TMIN,-11
19260208,TMAX,56
19260208,TOBS,39
19260209,TMIN,0
19260209,TMAX,39
19260209,TOBS,6
19260210,TMIN,-61
19260210,TMAX,6
19260210,TOBS,-39
19260211,TMIN,-156
19260211,TMAX,-28
19260211,TOBS,-28
19260212,TMIN,-128
19260212,TMAX,6
19260212,TOBS,6
19260213,TMIN,6
19260213,TMAX,100
19260213,TOBS,100
19260214,TMIN,22
19260214,TMAX,100
19260214,TOBS,39
19260215,TMIN,-6
19260215,TMAX,39
19260215,TOBS,6
19260216,TMIN,-67
19260216,TMAX,56
19260216,TOBS,22
19260217,TMIN,-39
19260217,TMAX,144
19260217,TOBS,128
19260218,TMIN,44
19260218,TMAX,117
19260218,TOBS,78
19260219,TMIN,-50
19260219,TMAX,78
19260219,TOBS,0
19260220,TMIN,-39
19260220,TMAX,117
19260220,TOBS,117
19260221,TMIN,-17
19260221,TMAX,161
19260221,TOBS,139
19260222,TMIN,6
19260222,TMAX,139
19260222,TOBS,11
19260223,TMIN,-39
19260223,TMAX,33
19260223,TOBS,33
19260224,TMIN,-56
19260224,TMAX,67
19260224,TOBS,61
19260225,TMIN,56
19260225,TMAX,117
19260225,TOBS,67
19260226,TMIN,0
19260226,TMAX,67
19260226,TOBS,11
19260227,TMIN,-61
19260227,TMAX,11
19260227,TOBS,-33
19260228,TMIN,-89
19260228,TMAX,106
19260228,TOBS,89
19260301,TMIN,28
19260301,TMAX,94
19260301,TOBS,33
19260302,TMIN,-94
19260302,TMAX,33
19260302,TOBS,-67
19260303,TMIN,-111
19260303,TMAX,-6
19260303,TOBS,-17
19260304,TMIN,-106
19260304,TMAX,-17
19260304,TOBS,-28
19260305,TMIN,-111
19260305,TMAX,17
19260305,TOBS,-11
19260306,TMIN,-78
19260306,TMAX,67
19260306,TOBS,28
19260307,TMIN,-33
19260307,TMAX,56
19260307,TOBS,-17
19260308,TMIN,-111
19260308,TMAX,-17
19260308,TOBS,-56
19260309,TMIN,-100
19260309,TMAX,56
19260309,TOBS,56
19260310,TMIN,-50
19260310,TMAX,106
19260310,TOBS,67
19260311,TMIN,-6
19260311,TMAX,67
19260311,TOBS,22
19260312,TMIN,-50
19260312,TMAX,22
19260312,TOBS,-44
19260313,TMIN,-133
19260313,TMAX,-39
19260313,TOBS,-44
19260314,TMIN,-133
19260314,TMAX,0
19260314,TOBS,-6
19260315,TMIN,-72
19260315,TMAX,11
19260315,TOBS,11
19260316,TMIN,-72
19260316,TMAX,22
19260316,TOBS,11
19260317,TMIN,-128
19260317,TMAX,94
19260317,TOBS,94
19260318,TMIN,-11
19260318,TMAX,194
19260318,TOBS,194
19260319,TMIN,-11
19260319,TMAX,244
19260319,TOBS,172
19260320,TMIN,39
19260320,TMAX,172
19260320,TOBS,67
19260321,TMIN,11
19260321,TMAX,100
19260321,TOBS,83
19260322,TMIN,6
19260322,TMAX,117
19260322,TOBS,117
19260323,TMIN,39
19260323,TMAX,156
19260323,TOBS,150
19260324,TMIN,-6
19260324,TMAX,239
19260324,TOBS,211
19260325,TMIN,39
19260325,TMAX,217
19260325,TOBS,56
19260326,TMIN,11
19260326,TMAX,72
19260326,TOBS,22
19260327,TMIN,-33
19260327,TMAX,22
19260327,TOBS,-6
19260328,TMIN,-72
19260328,TMAX,67
19260328,TOBS,50
19260329,TMIN,0
19260329,TMAX,117
19260329,TOBS,94
19260330,TMIN,-11
19260330,TMAX,94
19260330,TOBS,94
19260331,TMIN,-22
19260331,TMAX,111
19260331,TOBS,-11
19260401,TMIN,-28
19260401,TMAX,50
19260401,TOBS,39
19260402,TMIN,-22
19260402,TMAX,122
19260402,TOBS,122
19260403,TMIN,6
19260403,TMAX,122
19260403,TOBS,33
19260404,TMIN,-61
19260404,TMAX,122
19260404,TOBS,78
19260405,TMIN,17
19260405,TMAX,139
19260405,TOBS,72
19260406,TMIN,6
19260406,TMAX,72
19260406,TOBS,61
19260407,TMIN,50
19260407,TMAX,222
19260407,TOBS,161
19260408,TMIN,22
19260408,TMAX,156
19260408,TOBS,67
19260409,TMIN,-22
19260409,TMAX,100
19260409,TOBS,100
19260410,TMIN,-39
19260410,TMAX,150
19260410,TOBS,150
19260411,TMIN,67
19260411,TMAX,150
19260411,TOBS,83
19260412,TMIN,-11
19260412,TMAX,83
19260412,TOBS,83
19260413,TMIN,-22
19260413,TMAX,161
19260413,TOBS,161
19260414,TMIN,22
19260414,TMAX,211
19260414,TOBS,78
19260415,TMIN,-28
19260415,TMAX,106
19260415,TOBS,94
19260416,TMIN,-28
19260416,TMAX,178
19260416,TOBS,167
19260417,TMIN,6
19260417,TMAX,167
19260417,TOBS,NA
19260418,TMIN,6
19260418,TMAX,111
19260418,TOBS,94
19260419,TMIN,-22
19260419,TMAX,94
19260419,TOBS,67
19260420,TMIN,-56
19260420,TMAX,156
19260420,TOBS,122
19260421,TMIN,11
19260421,TMAX,244
19260421,TOBS,217
19260422,TMIN,78
19260422,TMAX,217
19260422,TOBS,133
19260423,TMIN,111
19260423,TMAX,200
19260423,TOBS,167
19260424,TMIN,111
19260424,TMAX,189
19260424,TOBS,128
19260425,TMIN,22
19260425,TMAX,128
19260425,TOBS,56
19260426,TMIN,-11
19260426,TMAX,106
19260426,TOBS,100
19260427,TMIN,-33
19260427,TMAX,161
19260427,TOBS,122
19260428,TMIN,44
19260428,TMAX,133
19260428,TOBS,67
19260429,TMIN,-11
19260429,TMAX,172
19260429,TOBS,167
19260430,TMIN,100
19260430,TMAX,272
19260430,TOBS,244
19260501,TMIN,111
19260501,TMAX,300
19260501,TOBS,239
19260502,TMIN,78
19260502,TMAX,289
19260502,TOBS,267
19260503,TMIN,72
19260503,TMAX,261
19260503,TOBS,78
19260504,TMIN,-17
19260504,TMAX,172
19260504,TOBS,156
19260505,TMIN,11
19260505,TMAX,261
19260505,TOBS,222
19260506,TMIN,50
19260506,TMAX,306
19260506,TOBS,261
19260507,TMIN,72
19260507,TMAX,317
19260507,TOBS,283
19260508,TMIN,100
19260508,TMAX,311
19260508,TOBS,283
19260509,TMIN,144
19260509,TMAX,306
19260509,TOBS,200
19260510,TMIN,94
19260510,TMAX,211
19260510,TOBS,150
19260511,TMIN,44
19260511,TMAX,189
19260511,TOBS,178
19260512,TMIN,61
19260512,TMAX,211
19260512,TOBS,206
19260513,TMIN,67
19260513,TMAX,222
19260513,TOBS,156
19260514,TMIN,78
19260514,TMAX,211
19260514,TOBS,150
19260515,TMIN,89
19260515,TMAX,178
19260515,TOBS,172
19260516,TMIN,50
19260516,TMAX,272
19260516,TOBS,261
19260517,TMIN,139
19260517,TMAX,283
19260517,TOBS,256
19260518,TMIN,133
19260518,TMAX,261
19260518,TOBS,217
19260519,TMIN,122
19260519,TMAX,233
19260519,TOBS,172
19260520,TMIN,39
19260520,TMAX,228
19260520,TOBS,156
19260521,TMIN,56
19260521,TMAX,267
19260521,TOBS,211
19260522,TMIN,83
19260522,TMAX,211
19260522,TOBS,94
19260523,TMIN,11
19260523,TMAX,211
19260523,TOBS,183
19260524,TMIN,67
19260524,TMAX,300
19260524,TOBS,183
19260525,TMIN,150
19260525,TMAX,311
19260525,TOBS,311
19260526,TMIN,144
19260526,TMAX,317
19260526,TOBS,256
19260527,TMIN,111
19260527,TMAX,256
19260527,TOBS,194
19260528,TMIN,83
19260528,TMAX,261
19260528,TOBS,261
19260529,TMIN,100
19260529,TMAX,300
19260529,TOBS,261
19260530,TMIN,128
19260530,TMAX,300
19260530,TOBS,283
19260531,TMIN,172
19260531,TMAX,283
19260531,TOBS,189
19260601,TMIN,178
19260601,TMAX,244
19260601,TOBS,233
19260602,TMIN,156
19260602,TMAX,278
19260602,TOBS,267
19260603,TMIN,83
19260603,TMAX,311
19260603,TOBS,144
19260604,TMIN,111
19260604,TMAX,194
19260604,TOBS,172
19260605,TMIN,83
19260605,TMAX,228
19260605,TOBS,150
19260606,TMIN,67
19260606,TMAX,244
19260606,TOBS,172
19260607,TMIN,94
19260607,TMAX,244
19260607,TOBS,228
19260608,TMIN,83
19260608,TMAX,267
19260608,TOBS,250
19260609,TMIN,83
19260609,TMAX,278
19260609,TOBS,228
19260610,TMIN,94
19260610,TMAX,278
19260610,TOBS,256
19260611,TMIN,122
19260611,TMAX,289
19260611,TOBS,228
19260612,TMIN,178
19260612,TMAX,283
19260612,TOBS,272
19260613,TMIN,172
19260613,TMAX,317
19260613,TOBS,239
19260614,TMIN,189
19260614,TMAX,289
19260614,TOBS,239
19260615,TMIN,122
19260615,TMAX,244
19260615,TOBS,161
19260616,TMIN,139
19260616,TMAX,228
19260616,TOBS,178
19260617,TMIN,150
19260617,TMAX,317
19260617,TOBS,283
19260618,TMIN,150
19260618,TMAX,283
19260618,TOBS,217
19260619,TMIN,156
19260619,TMAX,244
19260619,TOBS,217
19260620,TMIN,106
19260620,TMAX,272
19260620,TOBS,244
19260621,TMIN,139
19260621,TMAX,300
19260621,TOBS,206
19260622,TMIN,111
19260622,TMAX,261
